shapeid,partid,x,y
"0","0",-115.1675714,36.0733206
"0","0",-115.173736358565,36.0596940090215
"0","0",-115.176261334826,36.0610647104203
"0","0",-115.1684663,36.0733856
"0","0",-115.170907067198,36.0730072328434
"0","0",-115.177271325331,36.0608482838837
"0","0",-115.179507732876,36.062507553998
"0","0",-115.172799346894,36.0730072328434
"0","0",-115.180012728128,36.0721024637897
"0","0",-115.17994058595,36.0746995822296
"0","0",-115.171951083582,36.0741817512759
"0","0",-115.1711753,36.0756777
"0","0",-115.1712899,36.0757998
"0","0",-115.1713728,36.0759181
"0","0",-115.1714028,36.075976
"0","0",-115.1714262,36.076
"0","0",-115.1714593,36.0760058
"0","0",-115.186938377301,36.0746995822296
"0","0",-115.186505524228,36.0779459802794
"0","0",-115.1715386,36.0767182
"0","0",-115.1715193,36.0774
"0","0",-115.1715133,36.0774691
"0","0",-115.1715239,36.0775547
"0","0",-115.1715493,36.0776182
"0","0",-115.1716173,36.0777212
"0","0",-115.1713764,36.0784176
"0","0",-115.1713405,36.0785005
"0","0",-115.1713025,36.0785824
"0","0",-115.1712623,36.0786633
"0","0",-115.1587757,36.1006786
"0","0",-115.156421339863,36.1007389180556
"0","0",-115.149839862126,36.1139165509291
"0","0",-115.147411423445,36.113054846881
"0","0",-115.1549814,36.1007022
"0","0",-115.1550222,36.1003302
"0","0",-115.1549767,36.1003159
"0","0",-115.1548885,36.1002808
"0","0",-115.1547687,36.1002102
"0","0",-115.1546657,36.1001224
"0","0",-115.154565,36.1000047
"0","0",-115.154481,36.0998774
"0","0",-115.1544142,36.0997431
"0","0",-115.154362,36.0996201
"0","0",-115.1542335,36.0993246
"0","0",-115.1541994,36.0992182
"0","0",-115.1541701,36.0991275
"0","0",-115.154136,36.0990212
"0","0",-115.1540969,36.0989463
"0","0",-115.1540433,36.0988793
"0","0",-115.1539799,36.098836
"0","0",-115.146941403055,36.1123498162962
"0","0",-115.144356290911,36.1113314387848
"0","0",-115.153088,36.098535
"0","0",-115.152383,36.098263
"0","0",-115.1522336,36.0981953
"0","0",-115.1520922,36.0981125
"0","0",-115.1519507,36.098014
"0","0",-115.1518776,36.0979391
"0","0",-115.1518093,36.0978446
"0","0",-115.151749,36.09768
"0","0",-115.1517264,36.0975096
"0","0",-115.1517215,36.0973756
"0","0",-115.1517361,36.0972535
"0","0",-115.1532236,36.0941562
"0","0",-115.1532847,36.0937443
"0","0",-115.1534204,36.0936914
"0","0",-115.156529146336,36.0876002387627
"0","0",-115.156874780592,36.0866324628476
"0","0",-115.156321765783,36.0858720674857
"0","0",-115.155284863017,36.0840056425066
"0","0",-115.153625818591,36.0813096953146
"0","0",-115.152105027867,36.0811714416124
"0","0",-115.151828520463,36.0788902555268
"0","0",-115.150929871399,36.0789593823779
"0","0",-115.147888289951,36.0788902555268
"0","0",-115.1249526,36.0786616
"0","0",-115.1229099,36.0785356
"0","0",-115.122712,36.0785143
"0","0",-115.1226148,36.0784923
"0","0",-115.1225196,36.078463
"0","0",-115.1224256,36.0784258
"0","0",-115.1223348,36.0783815
"0","0",-115.1222477,36.0783302
"0","0",-115.1221649,36.0782723
"0","0",-115.1215105,36.0777992
"0","0",-115.1212813,36.0776179
"0","0",-115.1211204,36.0774247
"0","0",-115.1210375,36.0772356
"0","0",-115.120979,36.0769951
"0","0",-115.1209692,36.0767586
"0","0",-115.101427761969,36.0780383278349
"0","0",-115.100957741579,36.075139868764
"0","0",-115.10737995522,36.0753647861219
"0","0",-115.107509838349,36.0749160087663
"0","0",-115.107076985276,36.0722467481475
"0","0",-115.1321811,36.0733088
"0","0",-115.1391059,36.0733013
"0","0",-115.1452652,36.0733058
"0","0",-115.1456163,36.0733058
"0","0",-115.1494397,36.0733058
"0","0",-115.1627971,36.0732861
"0","0",-115.165360730155,36.0733987389875
"0","0",-115.1656646,36.0736044
"0","0",-115.1657865,36.0735827
"0","0",-115.1659279,36.0735827
"0","0",-115.1660596,36.0735965
"0","0",-115.166143742444,36.0732682369395
"0","0",-115.16673100166,36.0732682369395
"0","0",-115.1675714,36.0733206
