Lat,Lon
33.93644106811152739,-118.43171938322396386
33.93653774036673099,-118.4317012571761154
33.93653499053729661,-118.43168542696699319
33.93665564187949713,-118.4300403393449983
33.93657062478879993,-118.4300281643660071
33.93624654896139958,-118.42982524805600519
33.93620277758620318,-118.42978060646800031
33.93617920837490232,-118.42972378990100424
33.93610092487620022,-118.42928244692500073
33.9361539556413021,-118.42827141640799482
33.93629368734020346,-118.42716552251600604
33.93642205511449816,-118.42671707747000198
33.93668911908940089,-118.42650357146399642
33.9372757309641031,-118.42658653464299334
33.93731481957320284,-118.42620579177800266
33.93724046527219684,-118.42616351754699622
33.9371714419760977,-118.42608336560400062
33.93713187981779811,-118.42599560429999883
33.93712093708990096,-118.42593219295299889
33.93712640845399875,-118.42511444022200351
33.93733263653769683,-118.42326942366800324
33.93734810362379761,-118.42312928459099908
33.93736072981450036,-118.42307031203800705
33.93739734575689937,-118.42297906311000588
33.93744108144520055,-118.42291389738299756
33.93750279186699714,-118.4223466828830027
33.93747748691689736,-118.4222858714010016
33.93746244072669782,-118.4222428045279969
33.93745784620190165,-118.42221755624299817
33.93745269928169961,-118.42215446195299933
33.93746082738220338,-118.42202377116700518
33.93746819265059855,-118.4219802392770049
33.93747392703770061,-118.42196549613899492
33.93748221296330314,-118.42195078470599867
33.93749523370190246,-118.42193344170300406
33.93751475165380072,-118.42191971314599641
33.93753919731219781,-118.42191447114200287
33.93759727764349776,-118.42141732618100036
33.93758314336380266,-118.42139065114000118
33.93756455485320345,-118.42133032581199359
33.9375543136343012,-118.42128010402500138
33.93755047382639844,-118.42117537666200633
33.93759164848290055,-118.4207628470989988
33.93765422651829766,-118.4202182129109957
33.93768313545199788,-118.42007300562400474
33.93776899317379758,-118.41932728818299836
33.93776019601759941,-118.41922123413999657
33.93785197702540302,-118.41829667060500242
33.93805228885459968,-118.41745161834700184
33.93809524794600208,-118.41736468443400554
33.93814830633510127,-118.41730833178199589
33.93820884201380039,-118.41662471690699476
33.93818834779840188,-118.41659447214000522
33.93816391238129881,-118.41652654017599389
33.93814775347259882,-118.41598450960799482
33.9381544972994007,-118.41551848683199921
33.93825521672660273,-118.4149853238390051
33.93835978964050071,-118.41423569698899598
33.93833876996959731,-118.41416538978100448
33.93834152880170052,-118.41384188161499935
33.93851388994419693,-118.41305646776299909
33.93861964489320115,-118.41294989850399588
33.93867276316790083,-118.41230314608900187
33.93863189173109873,-118.41223896173100627
